iter	RMSE
0	92617.13563
1	88126.67215
2	84371.91676
3	81103.27195
4	78098.6533
5	75433.33074
6	73267.6966
7	71336.15989
8	69623.37798
9	68213.22968
10	67236.44088
11	66192.64587
12	65190.17942
13	64715.76843
14	63965.74984
15	63315.88075
16	62736.14773
17	62284.45662
18	61923.79276
19	61550.56807
20	61254.09748
21	60896.66038
22	60633.7007
23	60356.16119
24	60071.40038
25	59872.57393
26	59631.8809
27	59419.8362
28	59288.24223
29	59125.50895
30	58986.49497
31	58894.79892
32	58722.90305
33	58599.82872
34	58467.84244
35	58385.26703
36	58295.33919
37	58153.65665
38	58029.62451
39	57988.34958
40	57902.2693
41	57813.12808
42	57671.7174
43	57610.84733
44	57534.39953
45	57475.36148
46	57424.08354
47	57353.73602
48	57261.58182
49	57221.52496
50	57198.23663
51	57104.74846
52	57020.34135
53	56942.51807
54	56840.10637
55	56748.8913
56	56688.44752
57	56633.70406
58	56540.10388
59	56505.55035
60	56463.95629
61	56382.06383
62	56328.89481
63	56282.84521
64	56217.5395
65	56136.116
66	56074.36299
67	56022.67325
68	55952.41462
69	55886.63565
70	55819.94695
71	55764.11276
72	55716.01039
73	55673.94284
74	55647.86402
75	55612.90241
76	55555.72482
77	55527.7577
78	55477.04315
79	55458.93984
80	55399.29677
81	55349.70702
82	55314.51524
83	55272.7179
84	55223.95627
85	55167.47458
86	55101.49478
87	55060.00609
88	54991.81654
89	54944.89081
90	54872.22078
91	54840.77347
92	54795.90513
93	54746.32323
94	54708.91134
95	54646.83186
96	54597.44147
97	54545.37162
98	54506.52759
99	54487.5064
100	54447.11104
101	54398.45273
102	54353.56812
103	54286.86688
104	54251.59159
105	54189.0719
106	54149.99017
107	54115.64062
108	54082.15297
109	54049.36162
110	54023.1343
111	53965.62813
112	53941.86786
113	53897.79744
114	53863.35608
115	53812.21937
116	53762.08662
117	53719.59646
118	53683.52483
119	53633.25341
120	53592.33248
121	53532.48932
122	53486.17045
123	53433.58771
124	53409.35804
125	53386.70778
126	53355.28909
127	53311.09491
128	53256.25802
129	53216.23988
130	53178.85374
131	53161.5275
132	53118.23512
133	53088.65216
134	53058.64544
135	53014.34561
136	52978.43618
137	52950.63471
138	52909.88629
139	52870.1225
140	52845.60929
141	52809.53717
142	52772.75856
143	52738.82542
144	52715.36163
145	52679.23721
146	52644.11745
147	52630.46118
148	52603.81464
149	52571.33091
150	52552.00857
151	52527.61498
152	52493.76922
153	52461.78657
154	52417.52471
155	52366.97168
156	52331.26594
157	52302.7992
158	52288.62156
159	52266.54435
160	52222.04326
161	52193.75597
162	52175.09462
163	52141.14316
164	52115.11631
165	52083.53009
166	52060.81706
167	52033.20599
168	51996.05338
169	51976.93183
170	51944.73223
171	51920.86088
172	51882.06988
173	51849.90761
174	51822.23649
175	51798.92221
176	51747.08405
177	51721.65276
178	51697.79585
179	51677.80293
180	51651.74243
181	51620.61621
182	51587.55698
183	51567.1527
184	51548.66845
185	51528.70118
186	51501.14325
187	51474.63214
188	51436.48387
189	51421.81311
190	51399.9239
191	51378.55582
192	51350.44661
193	51321.82437
194	51279.99328
195	51258.02165
196	51253.63536
197	51226.29055
198	51197.40552
199	51179.37241
