iter	Passed	Remaining
0	144	28798
1	150	14915
2	154	10172
3	162	7953
4	169	6591
5	175	5667
6	181	5002
7	187	4495
8	193	4111
9	199	3798
10	202	3487
11	209	3288
12	216	3112
13	218	2898
14	224	2771
15	230	2654
16	236	2549
17	243	2457
18	249	2376
19	255	2300
20	262	2234
21	267	2163
22	273	2102
23	279	2046
24	284	1994
25	290	1945
26	296	1900
27	302	1860
28	309	1822
29	314	1781
30	320	1745
31	325	1711
32	332	1681
33	339	1656
34	344	1626
35	351	1600
36	357	1573
37	363	1550
38	368	1520
39	373	1494
40	379	1471
41	385	1448
42	390	1426
43	396	1404
44	401	1382
45	406	1361
46	411	1341
47	417	1322
48	423	1306
49	428	1286
50	434	1268
51	439	1252
52	445	1236
53	451	1220
54	455	1199
55	460	1185
56	466	1170
57	472	1157
58	478	1143
59	483	1128
60	488	1113
61	494	1100
62	500	1088
63	506	1076
64	512	1063
65	518	1053
66	524	1041
67	530	1028
68	536	1017
69	542	1006
70	547	994
71	553	984
72	559	973
73	566	963
74	575	959
75	581	948
76	587	939
77	594	929
78	599	918
79	605	908
80	611	898
81	616	887
82	623	878
83	629	868
84	635	860
85	641	850
86	648	841
87	653	831
88	659	822
89	665	813
90	670	803
91	676	794
92	682	785
93	688	776
94	696	770
95	703	762
96	710	754
97	716	746
98	723	737
99	729	729
100	736	721
101	743	713
102	749	705
103	755	696
104	760	688
105	766	679
106	772	671
107	777	662
108	783	654
109	789	646
110	796	638
111	801	630
112	807	621
113	812	613
114	818	605
115	825	597
116	831	589
117	836	581
118	842	573
119	848	565
120	853	557
121	859	549
122	864	541
123	871	534
124	877	526
125	883	518
126	888	510
127	893	502
128	898	494
129	905	487
130	911	479
131	918	472
132	924	465
133	930	458
134	936	450
135	941	443
136	947	435
137	952	428
138	958	420
139	963	413
140	969	405
141	975	398
142	981	391
143	987	384
144	994	377
145	999	369
146	1004	362
147	1010	355
148	1016	348
149	1023	341
150	1028	333
151	1035	326
152	1041	319
153	1047	313
154	1054	306
155	1059	298
156	1066	292
157	1072	285
158	1078	278
159	1084	271
160	1089	264
161	1095	256
162	1100	249
163	1106	242
164	1112	235
165	1117	228
166	1123	221
167	1129	215
168	1135	208
169	1142	201
170	1147	194
171	1152	187
172	1159	181
173	1165	174
174	1171	167
175	1177	160
176	1183	153
177	1188	146
178	1194	140
179	1199	133
180	1205	126
181	1211	119
182	1218	113
183	1224	106
184	1231	99
185	1238	93
186	1243	86
187	1249	79
188	1254	73
189	1260	66
190	1267	59
191	1274	53
192	1280	46
193	1286	39
194	1292	33
195	1299	26
196	1304	19
197	1310	13
198	1316	6
199	1321	0
