median_income,ocean_proximity_NEAR BAY,total_rooms,ocean_proximity_NEAR OCEAN,latitude,ocean_proximity_INLAND
1.6728,False,1475.0,False,35.37,True
2.6563,False,488.0,False,37.87,True
2.455,True,4074.0,False,37.73,False
6.8162,False,1713.0,False,36.72,True
3.7252,False,7052.0,False,34.37,True
1.8942,True,350.0,False,38.17,False
5.1788,False,737.0,False,36.55,False
1.7463,False,1629.0,False,39.3,True
4.2065,False,2593.0,True,32.85,False
3.5214,False,2748.0,True,37.63,False
4.9766,False,2197.0,False,34.87,False
1.0801,False,1153.0,False,37.62,True
3.1875,False,1706.0,False,34.03,False
4.2891,False,2032.0,False,34.41,True
4.2312,False,4046.0,False,32.82,False
5.2017,False,1698.0,False,33.91,False
6.7206,False,3507.0,True,37.62,False
2.5729,False,25135.0,False,33.35,False
2.2284,False,2161.0,True,32.83,False
1.84,False,1701.0,False,33.99,False
2.1023,False,3539.0,False,33.94,True
4.1827,False,1331.0,True,37.59,False
2.6518,True,1739.0,False,38.29,False
1.0481,False,1334.0,False,36.72,True
4.1953,False,11775.0,False,33.89,True
3.9583,False,433.0,False,34.23,True
8.2364,False,749.0,True,37.51,False
3.5652,False,2462.0,False,37.31,False
1.5539,False,2204.0,False,37.96,True
3.1467,False,1743.0,False,38.45,False
3.0625,False,2464.0,False,34.05,False
4.4107,False,1144.0,False,38.31,True
2.3783,False,1884.0,False,33.74,False
2.0469,False,1810.0,False,39.08,True
4.1448,False,4674.0,False,34.08,True
4.1292,False,1642.0,False,33.82,False
3.3438,True,970.0,False,37.78,False
3.7045,False,878.0,True,37.5,False
2.6316,False,2280.0,False,38.5,False
1.6184,False,1261.0,False,34.06,False
2.9375,False,2929.0,False,33.83,False
4.2329,False,10264.0,False,34.56,True
5.5501,False,3318.0,False,33.72,False
2.7813,False,1949.0,False,33.91,False
3.2829,True,3785.0,False,37.63,False
2.8512,True,1575.0,False,37.69,False
2.1776,False,879.0,False,34.01,False
4.2708,True,886.0,False,37.48,False
5.7619,False,4807.0,False,33.88,False
5.6605,False,1704.0,True,33.16,False
3.6953,False,5762.0,False,37.32,False
4.0675,False,4577.0,False,38.73,True
3.0313,False,2677.0,True,41.84,False
3.6455,False,5558.0,False,38.73,True
3.775,False,2208.0,False,34.1,False
8.2405,False,2396.0,False,33.96,True
2.7115,True,1710.0,False,37.77,False
3.2073,False,7326.0,False,34.01,True
1.5972,False,1102.0,False,34.05,False
6.1278,False,1048.0,True,37.71,False
3.6875,False,2492.0,False,34.04,True
2.933,True,2947.0,False,37.88,False
4.0154,False,3455.0,True,36.6,False
1.7106,False,2259.0,False,36.13,True
5.8336,False,1119.0,False,38.6,True
2.6275,False,2772.0,False,39.18,False
6.4335,False,13703.0,False,32.83,False
4.2727,True,1167.0,False,37.72,False
2.59,True,2462.0,False,37.74,False
1.9056,False,1689.0,False,36.75,True
1.8958,False,284.0,False,37.7,True
4.1179,False,6125.0,False,38.26,True
1.5893,False,2623.0,False,36.07,True
3.5046,False,1651.0,False,39.75,True
3.3893,True,2888.0,False,37.86,False
6.983,False,4890.0,False,33.84,False
3.0625,False,1022.0,False,34.02,False
2.8194,False,1031.0,False,33.85,True
2.0486,False,763.0,False,33.93,False
3.15,True,834.0,False,37.86,False
6.287,False,2338.0,True,33.75,False
6.6104,False,5645.0,False,38.5,False
6.3525,False,2229.0,True,33.04,False
2.1786,False,555.0,False,33.13,False
1.0548,False,1298.0,False,34.14,True
2.875,False,1133.0,False,37.95,True
4.1026,False,1679.0,False,33.65,False
6.0487,False,1173.0,False,38.26,True
3.4016,False,1359.0,False,34.16,False
5.2128,True,3037.0,False,37.76,False
2.006,False,2505.0,False,37.96,True
4.3889,False,2394.0,False,34.15,False
6.3215,False,786.0,False,37.33,True
4.6458,False,3666.0,False,37.61,False
7.7852,True,1349.0,False,37.81,False
1.5625,False,384.0,True,34.19,False
1.056,False,1941.0,False,35.36,True
2.1602,False,3487.0,False,34.14,False
3.0909,False,2101.0,False,34.01,True
3.788,False,3066.0,False,39.26,False
4.8958,False,455.0,False,37.62,True
3.2426,False,2989.0,False,34.08,False
4.3533,False,2853.0,False,37.69,True
2.4821,False,1221.0,True,32.76,False
2.0625,False,1444.0,False,34.01,False
4.7188,True,866.0,False,37.95,False
4.8194,False,494.0,False,38.63,True
5.04,False,3337.0,False,33.2,False
3.8529,False,2724.0,True,32.58,False
2.375,False,3915.0,False,36.02,True
3.7991,False,795.0,False,38.37,False
1.9265,False,3234.0,False,38.5,False
5.9676,False,5138.0,True,35.2,False
2.5536,False,1212.0,False,33.97,False
3.1025,True,3102.0,False,38.12,False
5.2131,True,6740.0,False,37.71,False
6.1935,False,2422.0,False,33.64,False
5.4351,False,1338.0,True,37.53,False
3.1051,False,7179.0,False,34.2,False
5.6315,False,2125.0,False,33.62,False
5.779,False,2795.0,True,37.53,False
1.1552,False,594.0,True,36.97,False
1.8849,False,2991.0,False,39.15,True
5.1057,False,818.0,False,33.85,False
1.7169,False,1285.0,False,37.58,True
3.0729,False,1901.0,False,37.11,True
3.8615,False,1563.0,True,32.61,False
3.1205,False,1029.0,True,36.97,False
6.9021,False,1993.0,False,33.87,False
1.9767,False,3465.0,False,33.78,True
1.8162,False,683.0,False,37.64,True
4.6932,False,6875.0,False,37.76,False
4.5122,False,2386.0,False,33.93,True
3.6667,False,1294.0,True,37.66,False
3.5696,False,7151.0,False,34.38,True
3.6852,False,2821.0,False,35.3,True
3.2371,False,1999.0,False,33.92,False
3.8913,True,1445.0,False,37.75,False
1.7446,False,3715.0,False,39.02,True
4.0196,False,3690.0,False,36.83,True
3.1719,True,3287.0,False,37.95,False
1.6196,True,992.0,False,37.75,False
2.9712,False,3365.0,True,37.0,False
4.1439,False,1435.0,False,33.85,False
4.6452,False,1519.0,True,33.79,False
4.3571,False,937.0,False,34.11,False
4.7332,False,5284.0,False,33.99,False
5.5376,False,343.0,False,38.04,True
3.087,False,2627.0,False,36.74,True
3.5536,False,1463.0,False,36.34,True
2.7986,False,873.0,False,34.06,True
2.9479,False,2696.0,False,33.82,False
2.4063,False,840.0,False,37.73,True
3.125,False,2948.0,False,34.04,True
7.8118,False,338.0,False,33.93,True
5.0653,False,1580.0,False,33.93,False
6.2456,False,2996.0,False,34.1,True
4.7917,False,2231.0,False,37.25,False
3.4306,False,1715.0,False,36.22,True
4.5368,False,2054.0,False,38.43,True
3.5812,False,4436.0,True,33.78,False
2.825,False,1613.0,False,33.99,False
3.0426,False,5685.0,False,33.13,False
3.1607,False,1226.0,False,33.98,False
5.9836,False,1552.0,False,34.17,False
5.1386,False,1691.0,True,32.7,False
0.9338,False,562.0,False,38.67,True
2.7079,False,2453.0,False,38.61,True
2.9,False,452.0,False,33.09,True
4.7431,False,2297.0,False,37.39,False
3.9886,False,2593.0,False,34.21,False
6.1493,False,5175.0,False,33.62,False
3.925,False,1204.0,False,36.32,True
2.425,False,3578.0,False,36.3,True
2.1382,False,3095.0,False,38.28,True
2.9875,False,2899.0,False,33.23,False
2.9559,False,1868.0,False,36.2,False
2.6742,False,3166.0,True,32.75,False
2.5234,False,1939.0,False,34.17,False
3.0114,False,1453.0,False,34.16,False
4.0579,False,4028.0,False,34.59,True
3.6646,False,2449.0,False,34.48,True
2.5625,False,1839.0,False,34.04,False
3.6369,False,1244.0,False,38.33,False
2.3062,False,1000.0,False,39.09,True
7.2628,False,2870.0,False,33.86,False
4.2775,False,13096.0,False,33.95,True
2.0577,False,701.0,False,33.79,True
2.2808,False,4409.0,True,33.77,False
